"产物中文名","产物ID","内容类型","分类证据","分类置信度","是否可食用","饥饿值","饱和度","效果","有效配方数","无效/JAR候选配方数","有效配方ID列表","未加载配方ID列表","序列化类型列表","来源模组","建议厨师档次","建议依据","T3证据","冲突说明","人工复审备注"
"Butterfly Incense","kaleidoscope_tavern:butterfly_incense","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:butterfly_incense","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Carignan","kaleidoscope_tavern:carignan","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/carignan","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Catnip Incense","kaleidoscope_tavern:catnip_incense","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:catnip_incense","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Cellar Cabinet","kaleidoscope_tavern:cellar_cabinet","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","kaleidoscope_tavern:cellar_cabinet","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Chalkboard","kaleidoscope_tavern:chalkboard","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:chalkboard","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Champagne","kaleidoscope_tavern:champagne","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/champagne","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Circular Rack","kaleidoscope_tavern:circular_rack","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:circular_rack","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Sandwich Board","kaleidoscope_tavern:cornflower_sandwich_board","NON_FOOD","manual_override;装饰三明治板","HIGH","否","","","","1","0","kaleidoscope_tavern:cornflower_sandwich_board_from_cornflower","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","装饰三明治板","","",""
"Painting","kaleidoscope_tavern:cr019_painting","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","kaleidoscope_tavern:cr019_painting","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Cyan Bar Stool","kaleidoscope_tavern:cyan_bar_stool","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:cyan_bar_stool","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Cyan Sofa","kaleidoscope_tavern:cyan_sofa","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:cyan_sofa","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Painting","kaleidoscope_tavern:david_painting","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","kaleidoscope_tavern:david_painting","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Depth Charge","kaleidoscope_tavern:depth_charge","DRINK","recipe_type=kaleidoscope_tavern:shaker","HIGH","否","","","","1","0","kaleidoscope_tavern:shaker/depth_charge","","kaleidoscope_tavern:shaker","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Emerald","kaleidoscope_tavern:emerald","DRINK","recipe_type=kaleidoscope_tavern:shaker","HIGH","否","","","","1","0","kaleidoscope_tavern:shaker/emerald","","kaleidoscope_tavern:shaker","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Empty Bottle","kaleidoscope_tavern:empty_bottle","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:empty_bottle","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Empty Glassware","kaleidoscope_tavern:empty_glassware","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:empty_glassware","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Painting","kaleidoscope_tavern:father_painting","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","kaleidoscope_tavern:father_painting","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Firefly Incense","kaleidoscope_tavern:firefly_incense","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:firefly_incense","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Ginkgo Incense","kaleidoscope_tavern:ginkgo_incense","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:ginkgo_incense","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Painting","kaleidoscope_tavern:girl_with_pearl_earring_painting","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","kaleidoscope_tavern:girl_with_pearl_earring_painting","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Glass Bar Cabinet","kaleidoscope_tavern:glass_bar_cabinet","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","kaleidoscope_tavern:glass_bar_cabinet","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Glassware Holder","kaleidoscope_tavern:glassware_holder","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:glassware_holder","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Glow Berries Bucket","kaleidoscope_tavern:glow_berries_bucket","INGREDIENT","fluid_only_pressing_tub_or_no_item_result","HIGH","否","","","","1","0","kaleidoscope_tavern:pressing_tub/glow_berries_bucket","","kaleidoscope_tavern:pressing_tub","Kaleidoscope Tavern","不进入厨师","内容类型=INGREDIENT","","",""
"Glowflower Brew","kaleidoscope_tavern:glowflower_brew","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/glowflower_brew","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Godfather","kaleidoscope_tavern:godfather","DRINK","recipe_type=kaleidoscope_tavern:shaker","HIGH","否","","","","1","0","kaleidoscope_tavern:shaker/godfather","","kaleidoscope_tavern:shaker","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Gold Grape Bucket","kaleidoscope_tavern:gold_grape_bucket","INGREDIENT","fluid_only_pressing_tub_or_no_item_result","HIGH","否","","","","1","0","kaleidoscope_tavern:pressing_tub/gold_grape_bucket","","kaleidoscope_tavern:pressing_tub","Kaleidoscope Tavern","不进入厨师","内容类型=INGREDIENT","","",""
"Grape Bucket","kaleidoscope_tavern:grape_bucket","INGREDIENT","fluid_only_pressing_tub_or_no_item_result","HIGH","否","","","","1","0","kaleidoscope_tavern:pressing_tub/grape_bucket","","kaleidoscope_tavern:pressing_tub","Kaleidoscope Tavern","不进入厨师","内容类型=INGREDIENT","","",""
"Sandwich Board","kaleidoscope_tavern:grass_sandwich_board","NON_FOOD","manual_override;装饰三明治板","HIGH","否","","","","1","0","kaleidoscope_tavern:grass_sandwich_board_from_short_grass","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","装饰三明治板","","",""
"Grasshopper","kaleidoscope_tavern:grasshopper","DRINK","recipe_type=kaleidoscope_tavern:shaker","HIGH","否","","","","1","0","kaleidoscope_tavern:shaker/grasshopper","","kaleidoscope_tavern:shaker","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Gray Bar Stool","kaleidoscope_tavern:gray_bar_stool","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:gray_bar_stool","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Gray Sofa","kaleidoscope_tavern:gray_sofa","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:gray_sofa","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Painting","kaleidoscope_tavern:great_wave_painting","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","kaleidoscope_tavern:great_wave_painting","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Green Bar Stool","kaleidoscope_tavern:green_bar_stool","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:green_bar_stool","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Green Grape Bucket","kaleidoscope_tavern:green_grape_bucket","INGREDIENT","fluid_only_pressing_tub_or_no_item_result","HIGH","否","","","","1","0","kaleidoscope_tavern:pressing_tub/green_grape_bucket","","kaleidoscope_tavern:pressing_tub","Kaleidoscope Tavern","不进入厨师","内容类型=INGREDIENT","","",""
"Green Sofa","kaleidoscope_tavern:green_sofa","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:green_sofa","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Bottle Holder","kaleidoscope_tavern:holder","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:holder","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Honey Wine","kaleidoscope_tavern:honey_wine","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/honey_wine","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Ice Grape Bucket","kaleidoscope_tavern:ice_grape_bucket","INGREDIENT","fluid_only_pressing_tub_or_no_item_result","HIGH","否","","","","1","0","kaleidoscope_tavern:pressing_tub/ice_grape_bucket","","kaleidoscope_tavern:pressing_tub","Kaleidoscope Tavern","不进入厨师","内容类型=INGREDIENT","","",""
"Ice Wine","kaleidoscope_tavern:ice_wine","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/ice_wine","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Light Blue Bar Stool","kaleidoscope_tavern:light_blue_bar_stool","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:light_blue_bar_stool","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Light Blue Sofa","kaleidoscope_tavern:light_blue_sofa","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:light_blue_sofa","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Light Gray Bar Stool","kaleidoscope_tavern:light_gray_bar_stool","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:light_gray_bar_stool","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Light Gray Sofa","kaleidoscope_tavern:light_gray_sofa","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:light_gray_sofa","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Lime Bar Stool","kaleidoscope_tavern:lime_bar_stool","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:lime_bar_stool","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Lime Sofa","kaleidoscope_tavern:lime_sofa","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:lime_sofa","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Luminous Bride","kaleidoscope_tavern:luminous_bride","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/luminous_bride","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Madame Shexiang","kaleidoscope_tavern:madame_shexiang","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/madame_shexiang","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Magenta Bar Stool","kaleidoscope_tavern:magenta_bar_stool","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:magenta_bar_stool","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Magenta Sofa","kaleidoscope_tavern:magenta_sofa","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:magenta_sofa","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Painting","kaleidoscope_tavern:master_marisa_painting","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","kaleidoscope_tavern:master_marisa_painting","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Miner's Star","kaleidoscope_tavern:miners_star","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/miners_star","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Mojito","kaleidoscope_tavern:mojito","DRINK","recipe_type=kaleidoscope_tavern:shaker","HIGH","否","","","","1","0","kaleidoscope_tavern:shaker/mojito","","kaleidoscope_tavern:shaker","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Molotov Cocktail","kaleidoscope_tavern:molotov","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/molotov","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Painting","kaleidoscope_tavern:mona_lisa_painting","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","kaleidoscope_tavern:mona_lisa_painting","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Painting","kaleidoscope_tavern:mondrian_painting","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","kaleidoscope_tavern:mondrian_painting","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Mother Snow","kaleidoscope_tavern:mother_snow","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/mother_snow","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Nether Special","kaleidoscope_tavern:nether_special","DRINK","recipe_type=kaleidoscope_tavern:shaker","HIGH","否","","","","1","0","kaleidoscope_tavern:shaker/nether_special","","kaleidoscope_tavern:shaker","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Orange Bar Stool","kaleidoscope_tavern:orange_bar_stool","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:orange_bar_stool","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Orange Sofa","kaleidoscope_tavern:orange_sofa","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:orange_sofa","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Sandwich Board","kaleidoscope_tavern:orchid_sandwich_board","NON_FOOD","manual_override;装饰三明治板","HIGH","否","","","","1","0","kaleidoscope_tavern:orchid_sandwich_board_from_blue_orchid","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","装饰三明治板","","",""
"Sandwich Board","kaleidoscope_tavern:peony_sandwich_board","NON_FOOD","manual_override;装饰三明治板","HIGH","否","","","","2","0","kaleidoscope_tavern:peony_sandwich_board_from_lilac | kaleidoscope_tavern:peony_sandwich_board_from_peony","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","装饰三明治板","","",""
"Pine Incense","kaleidoscope_tavern:pine_incense","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:pine_incense","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Pink Bar Stool","kaleidoscope_tavern:pink_bar_stool","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:pink_bar_stool","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Sandwich Board","kaleidoscope_tavern:pink_petals_sandwich_board","NON_FOOD","manual_override;装饰三明治板","HIGH","否","","","","1","0","kaleidoscope_tavern:pink_petals_sandwich_board_from_pink_petals","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","装饰三明治板","","",""
"Pink Sofa","kaleidoscope_tavern:pink_sofa","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:pink_sofa","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Sandwich Board","kaleidoscope_tavern:pitcher_plant_sandwich_board","NON_FOOD","manual_override;装饰三明治板","HIGH","否","","","","1","0","kaleidoscope_tavern:pitcher_plant_sandwich_board_from_pitcher_plant","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","装饰三明治板","","",""
"Plum Wine","kaleidoscope_tavern:plum_wine","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/plum_wine","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Polaris Sweet White","kaleidoscope_tavern:polaris_sweet_white","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/polaris_sweet_white","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Sandwich Board","kaleidoscope_tavern:poppy_sandwich_board","NON_FOOD","manual_override;装饰三明治板","HIGH","否","","","","2","0","kaleidoscope_tavern:poppy_sandwich_board_from_poppy | kaleidoscope_tavern:poppy_sandwich_board_from_rose_bush","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","装饰三明治板","","",""
"Pressing Tub","kaleidoscope_tavern:pressing_tub","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:pressing_tub","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Purple Bar Stool","kaleidoscope_tavern:purple_bar_stool","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:purple_bar_stool","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Purple Sofa","kaleidoscope_tavern:purple_sofa","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:purple_sofa","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Red Bar Stool","kaleidoscope_tavern:red_bar_stool","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:red_bar_stool","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Red Queen","kaleidoscope_tavern:red_queen","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/red_queen","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Red Sofa","kaleidoscope_tavern:red_sofa","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:red_sofa","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Riesling Dry White","kaleidoscope_tavern:riesling_dry_white","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/riesling_dry_white","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Rum","kaleidoscope_tavern:rum","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/rum","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Sakura Incense","kaleidoscope_tavern:sakura_incense","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:sakura_incense","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Sakura Wine","kaleidoscope_tavern:sakura_wine","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/sakura_wine","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Sauvignon Blanc Dry White","kaleidoscope_tavern:sauvignon_blanc_dry_white","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/sauvignon_blanc_dry_white","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Screwdriver","kaleidoscope_tavern:screwdriver","DRINK","recipe_type=kaleidoscope_tavern:shaker","HIGH","否","","","","1","0","kaleidoscope_tavern:shaker/screwdriver","","kaleidoscope_tavern:shaker","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Sculk Special","kaleidoscope_tavern:sculk_special","DRINK","recipe_type=kaleidoscope_tavern:shaker","HIGH","否","","","","1","0","kaleidoscope_tavern:shaker/sculk_special","","kaleidoscope_tavern:shaker","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Shaker","kaleidoscope_tavern:shaker","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:shaker","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Sherry","kaleidoscope_tavern:sherry","DRINK","recipe_type=kaleidoscope_tavern:barrel","HIGH","否","","","","1","0","kaleidoscope_tavern:barrel/sherry","","kaleidoscope_tavern:barrel","Kaleidoscope Tavern","不进入厨师","内容类型=DRINK","","",""
"Snow Incense","kaleidoscope_tavern:snow_incense","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:snow_incense","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Painting","kaleidoscope_tavern:son_of_man_painting","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","kaleidoscope_tavern:son_of_man_painting","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Spore Incense","kaleidoscope_tavern:spore_incense","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:spore_incense","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Painting","kaleidoscope_tavern:starry_night_painting","NON_FOOD","decor_or_storage_token","HIGH","否","","","","1","0","kaleidoscope_tavern:starry_night_painting","","minecraft:crafting_shapeless","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"Stepladder","kaleidoscope_tavern:stepladder","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:stepladder","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"String Lights (Black)","kaleidoscope_tavern:string_lights_black","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:string_lights_black","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"String Lights (Blue)","kaleidoscope_tavern:string_lights_blue","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:string_lights_blue","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"String Lights (Brown)","kaleidoscope_tavern:string_lights_brown","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:string_lights_brown","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"String Lights (Colorless)","kaleidoscope_tavern:string_lights_colorless","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:string_lights_colorless","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"String Lights (Cyan)","kaleidoscope_tavern:string_lights_cyan","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:string_lights_cyan","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"String Lights (Gray)","kaleidoscope_tavern:string_lights_gray","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:string_lights_gray","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"String Lights (Green)","kaleidoscope_tavern:string_lights_green","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:string_lights_green","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"String Lights (Light Blue)","kaleidoscope_tavern:string_lights_light_blue","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:string_lights_light_blue","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"String Lights (Light Gray)","kaleidoscope_tavern:string_lights_light_gray","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:string_lights_light_gray","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"String Lights (Lime)","kaleidoscope_tavern:string_lights_lime","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:string_lights_lime","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"String Lights (Magenta)","kaleidoscope_tavern:string_lights_magenta","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:string_lights_magenta","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"String Lights (Orange)","kaleidoscope_tavern:string_lights_orange","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:string_lights_orange","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
"String Lights (Pink)","kaleidoscope_tavern:string_lights_pink","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","kaleidoscope_tavern:string_lights_pink","","minecraft:crafting_shaped","Kaleidoscope Tavern","不进入厨师","内容类型=NON_FOOD","","",""
