模组,配方ID,产物,数量,机器,原料,附加参数,饥饿值,饱和度,效果(buff),UNITE状态,备注
万花筒烹饪,millstone/string_from_green_wool.json,线(minecraft:string),3,石磨,绿色羊毛(minecraft:green_wool),,,,,原始(统一基准),
万花筒烹饪,millstone/string_from_light_blue_wool.json,线(minecraft:string),3,石磨,淡蓝色羊毛(minecraft:light_blue_wool),,,,,原始(统一基准),
万花筒烹饪,millstone/string_from_light_gray_wool.json,线(minecraft:string),3,石磨,淡灰色羊毛(minecraft:light_gray_wool),,,,,原始(统一基准),
万花筒烹饪,millstone/string_from_lime_wool.json,线(minecraft:string),3,石磨,黄绿色羊毛(minecraft:lime_wool),,,,,原始(统一基准),
万花筒烹饪,millstone/string_from_magenta_wool.json,线(minecraft:string),3,石磨,品红色羊毛(minecraft:magenta_wool),,,,,原始(统一基准),
万花筒烹饪,millstone/string_from_orange_wool.json,线(minecraft:string),3,石磨,橙色羊毛(minecraft:orange_wool),,,,,原始(统一基准),
万花筒烹饪,millstone/string_from_pink_wool.json,线(minecraft:string),3,石磨,粉红色羊毛(minecraft:pink_wool),,,,,原始(统一基准),
万花筒烹饪,millstone/string_from_purple_wool.json,线(minecraft:string),3,石磨,紫色羊毛(minecraft:purple_wool),,,,,原始(统一基准),
万花筒烹饪,millstone/string_from_red_wool.json,线(minecraft:string),3,石磨,红色羊毛(minecraft:red_wool),,,,,原始(统一基准),
万花筒烹饪,millstone/string_from_white_wool.json,线(minecraft:string),3,石磨,白色羊毛(minecraft:white_wool),,,,,原始(统一基准),
万花筒烹饪,millstone/string_from_yellow_wool.json,线(minecraft:string),3,石磨,黄色羊毛(minecraft:yellow_wool),,,,,原始(统一基准),
万花筒烹饪,millstone/emerald_from_deepslate_emerald_ore.json,绿宝石(minecraft:emerald),2,石磨,深层绿宝石矿石(minecraft:deepslate_emerald_ore),,,,,原始(统一基准),
万花筒烹饪,millstone/emerald_from_emerald_ore.json,绿宝石(minecraft:emerald),2,石磨,绿宝石矿石(minecraft:emerald_ore),,,,,原始(统一基准),
万花筒烹饪,millstone/green_dye_from_cactus.json,绿色染料(minecraft:green_dye),2,石磨,仙人掌(minecraft:cactus),,,,,原始(统一基准),
万花筒烹饪,millstone/green_dye_from_fern.json,绿色染料(minecraft:green_dye),1,石磨,蕨(minecraft:fern),,,,,原始(统一基准),
万花筒烹饪,millstone/green_dye_from_large_fern.json,绿色染料(minecraft:green_dye),3,石磨,大型蕨(minecraft:large_fern),,,,,原始(统一基准),
万花筒烹饪,millstone/blue_dye_from_cornflower.json,蓝色染料(minecraft:blue_dye),2,石磨,矢车菊(minecraft:cornflower),,,,,原始(统一基准),
万花筒烹饪,millstone/gold_nugget_from_gilded_blackstone.json,金粒(minecraft:gold_nugget),3,石磨,镶金黑石(minecraft:gilded_blackstone),,,,,原始(统一基准),
万花筒烹饪,millstone/gold_nugget_from_nether_gold_ore.json,金粒(minecraft:gold_nugget),5,石磨,下界金矿石(minecraft:nether_gold_ore),,,,,原始(统一基准),
万花筒烹饪,millstone/diamond_from_deepslate_diamond_ore.json,钻石(minecraft:diamond),2,石磨,深层钻石矿石(minecraft:deepslate_diamond_ore),,,,,原始(统一基准),
万花筒烹饪,millstone/diamond_from_diamond_ore.json,钻石(minecraft:diamond),2,石磨,钻石矿石(minecraft:diamond_ore),,,,,原始(统一基准),
万花筒烹饪,millstone/cyan_dye_from_pitcher_plant.json,青色染料(minecraft:cyan_dye),2,石磨,瓶子草(minecraft:pitcher_plant),,,,,原始(统一基准),
万花筒烹饪,millstone/lapis_lazuli_from_deepslate_lapis_ore.json,青金石(minecraft:lapis_lazuli),7,石磨,深层青金石矿石(minecraft:deepslate_lapis_ore),,,,,原始(统一基准),
万花筒烹饪,millstone/lapis_lazuli_from_lapis_ore.json,青金石(minecraft:lapis_lazuli),7,石磨,青金石矿石(minecraft:lapis_ore),,,,,原始(统一基准),
万花筒烹饪,millstone/flour_from_wheat.json,面粉(kaleidoscope_cookery:flour),1,石磨,小麦(minecraft:wheat),,,,,原始(统一基准),
万花筒烹饪,millstone/bone_meal_from_bone.json,骨粉(minecraft:bone_meal),5,石磨,骨头(minecraft:bone),,,,,原始(统一基准),
万花筒烹饪,millstone/yellow_dye_from_dandelion.json,黄色染料(minecraft:yellow_dye),2,石磨,蒲公英(minecraft:dandelion),,,,,原始(统一基准),
万花筒烹饪,millstone/yellow_dye_from_sunflower.json,黄色染料(minecraft:yellow_dye),3,石磨,向日葵(minecraft:sunflower),,,,,原始(统一基准),
万花筒烹饪,millstone/black_dye_from_wither_rose.json,黑色染料(minecraft:black_dye),2,石磨,凋灵玫瑰(minecraft:wither_rose),,,,,原始(统一基准),
万花筒烹饪,chopping_board/sashimi_from_cod.json,刺身(kaleidoscope_cookery:sashimi),2,菜板,生鳕鱼(minecraft:cod),切 4 刀,1,1.0,,原始(统一基准),
万花筒烹饪,chopping_board/sashimi_from_salmon.json,刺身(kaleidoscope_cookery:sashimi),2,菜板,生鲑鱼(minecraft:salmon),切 4 刀,1,1.0,,原始(统一基准),
万花筒烹饪,chopping_board/sashimi_from_tropical_fish.json,刺身(kaleidoscope_cookery:sashimi),2,菜板,热带鱼(minecraft:tropical_fish),切 4 刀,1,1.0,,原始(统一基准),
农夫乐事(万花筒机器),chopping_board/add/pumpkin_slice.json,南瓜片(farmersdelight:pumpkin_slice),4,菜板,南瓜(minecraft:pumpkin),切 4 刀,3,1.8,,新增(万花筒机器),用万花筒机器制作农夫乐事菜品
农夫乐事(万花筒机器),chopping_board/add/cabbage_leaf.json,卷心菜叶(farmersdelight:cabbage_leaf),2,菜板,卷心菜(farmersdelight:cabbage),切 7 刀,1,0.8,,新增(万花筒机器),用万花筒机器制作农夫乐事菜品
农夫乐事(万花筒机器),chopping_board/add/chocolate_pie_slice.json,巧克力派切片(farmersdelight:chocolate_pie_slice),4,菜板,巧克力派(farmersdelight:chocolate_pie),切 2 刀,,,,新增(万花筒机器),用万花筒机器制作农夫乐事菜品
农夫乐事(万花筒机器),chopping_board/add/kelp_roll_slice.json,海带寿司(farmersdelight:kelp_roll_slice),3,菜板,海带寿司卷(farmersdelight:kelp_roll),切 2 刀,6,6.0,,新增(万花筒机器),用万花筒机器制作农夫乐事菜品
万花筒烹饪,chopping_board/cooked_pork_belly.json,熟五花肉(kaleidoscope_cookery:cooked_pork_belly),2,菜板,熟猪排(minecraft:cooked_porkchop),切 4 刀,4,6.4,,原始(统一基准),
万花筒烹饪,chopping_board/cooked_cut_small_meats_from_chicken.json,熟切制小肉(kaleidoscope_cookery:cooked_cut_small_meats),2,菜板,熟鸡肉(minecraft:cooked_chicken),切 4 刀,4,6.4,,原始(统一基准),
万花筒烹饪,chopping_board/cooked_cut_small_meats_from_rabbit.json,熟切制小肉(kaleidoscope_cookery:cooked_cut_small_meats),2,菜板,熟兔肉(minecraft:cooked_rabbit),切 4 刀,4,6.4,,原始(统一基准),
万花筒烹饪,chopping_board/cooked_cow_offal.json,熟牛杂(kaleidoscope_cookery:cooked_cow_offal),2,菜板,牛排(minecraft:cooked_beef),切 4 刀,4,6.4,,原始(统一基准),
万花筒烹饪,chopping_board/cooked_lamb_chops.json,熟羊排(kaleidoscope_cookery:cooked_lamb_chops),2,菜板,熟羊肉(minecraft:cooked_mutton),切 4 刀,3,4.8,,原始(统一基准),
农夫乐事(万花筒机器),chopping_board/add/sweet_berry_cheesecake_slice.json,甜浆果芝士派切片(farmersdelight:sweet_berry_cheesecake_slice),4,菜板,甜浆果芝士派(farmersdelight:sweet_berry_cheesecake),切 2 刀,,,,新增(万花筒机器),用万花筒机器制作农夫乐事菜品
万花筒烹饪,chopping_board/raw_pork_belly.json,生五花肉(kaleidoscope_cookery:raw_pork_belly),2,菜板,生猪排(minecraft:porkchop),切 4 刀,2,1.2,,原始(统一基准),
万花筒烹饪,chopping_board/raw_cut_small_meats_from_chicken.json,生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),2,菜板,生鸡肉(minecraft:chicken),切 4 刀,2,1.2,,原始(统一基准),
万花筒烹饪,chopping_board/raw_cut_small_meats_from_rabbit.json,生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),2,菜板,生兔肉(minecraft:rabbit),切 4 刀,2,1.2,,原始(统一基准),
万花筒烹饪,chopping_board/raw_cow_offal.json,生牛杂(kaleidoscope_cookery:raw_cow_offal),2,菜板,生牛肉(minecraft:beef),切 4 刀,2,1.2,,原始(统一基准),
万花筒烹饪,chopping_board/raw_lamb_chops.json,生羊排(kaleidoscope_cookery:raw_lamb_chops),2,菜板,生羊肉(minecraft:mutton),切 4 刀,1,1.0,,原始(统一基准),
万花筒烹饪,chopping_board/raw_noodles_from_raw_dough.json,生面条(kaleidoscope_cookery:raw_noodles),2,菜板,面团(#c:dough),切 4 刀,,,,原始(统一基准),
农夫乐事(万花筒机器),chopping_board/add/apple_pie_slice.json,苹果派切片(farmersdelight:apple_pie_slice),4,菜板,苹果派(farmersdelight:apple_pie),切 2 刀,,,,新增(万花筒机器),用万花筒机器制作农夫乐事菜品
农夫乐事(万花筒机器),chopping_board/add/cake_slice.json,蛋糕切片(farmersdelight:cake_slice),7,菜板,蛋糕(minecraft:cake),切 2 刀,2,0.4,速度 20秒,新增(万花筒机器),用万花筒机器制作农夫乐事菜品
万花筒烹饪,chopping_board/bone_from_cod.json,骨头(minecraft:bone),2,菜板,熟鳕鱼(minecraft:cooked_cod),切 4 刀,,,,原始(统一基准),
万花筒烹饪,chopping_board/bone_from_salmon.json,骨头(minecraft:bone),2,菜板,熟鲑鱼(minecraft:cooked_salmon),切 4 刀,,,,原始(统一基准),
万花筒烹饪,teapot/oolong.json,乌龙茶(kaleidoscope_cookery:oolong),1,茶壶,龙息(minecraft:dragon_breath),240 刻; 茶底:水(minecraft:water),,,,原始(统一基准),
万花筒烹饪,teapot/barley_tea.json,大麦茶(kaleidoscope_cookery:barley_tea),1,茶壶,小麦种子(minecraft:wheat_seeds),240 刻; 茶底:水(minecraft:water),,,,原始(统一基准),
万花筒烹饪,teapot/sakura_fubuki.json,樱吹雪(kaleidoscope_cookery:sakura_fubuki),1,茶壶,粉红色花瓣(minecraft:pink_petals),240 刻; 茶底:水(minecraft:water),,,,原始(统一基准),
万花筒烹饪,teapot/biluochun.json,碧螺春(kaleidoscope_cookery:biluochun),1,茶壶,鹦鹉螺壳(minecraft:nautilus_shell),240 刻; 茶底:水(minecraft:water),,,,原始(统一基准),
万花筒烹饪,teapot/flower_tea.json,花茶(kaleidoscope_cookery:flower_tea),1,茶壶,小花(#minecraft:small_flowers),240 刻; 茶底:水(minecraft:water),,,,原始(统一基准),
万花筒烹饪,teapot/tieguanyin.json,铁观音(kaleidoscope_cookery:tieguanyin),1,茶壶,铁粒(minecraft:iron_nugget),240 刻; 茶底:水(minecraft:water),,,,原始(统一基准),
万花筒烹饪,steamer/baozi.json,包子(kaleidoscope_cookery:baozi),1,蒸笼,裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,8,16.0,伤害吸收 1分20秒,原始(统一基准),
万花筒烹饪,steamer/bamboo_tube_rice.json,熟竹筒饭(kaleidoscope_cookery:bamboo_tube_rice),1,蒸笼,生竹筒饭(kaleidoscope_cookery:raw_bamboo_tube_rice),,10,10.0,,原始(统一基准),
万花筒烹饪,steamer/qingtuan.json,青团(kaleidoscope_cookery:qingtuan),1,蒸笼,粘液球(minecraft:slime_ball),,5,6.0,,原始(统一基准),
万花筒烹饪,steamer/mantou.json,馒头(kaleidoscope_cookery:mantou),1,蒸笼,面团(#c:dough),,6,10.8,,原始(统一基准),
万花筒烹饪,scramble_egg_with_tomatoes_rice_bowl.json,番茄炒蛋盖饭(kaleidoscope_cookery:scramble_egg_with_tomatoes_rice_bowl),1,盖饭(饭碗),番茄炒蛋(kaleidoscope_cookery:scramble_egg_with_tomatoes),,14,18.0,饱腹代偿 3分,原始(统一基准),
万花筒烹饪,sweet_and_sour_pork_rice_bowl.json,糖醋里脊盖饭(kaleidoscope_cookery:sweet_and_sour_pork_rice_bowl),1,盖饭(饭碗),糖醋里脊(kaleidoscope_cookery:sweet_and_sour_pork),,14,18.0,饱腹代偿 3分,原始(统一基准),
万花筒烹饪,braised_beef_rice_bowl.json,红烧牛肉盖饭(kaleidoscope_cookery:braised_beef_rice_bowl),1,盖饭(饭碗),红烧牛肉(kaleidoscope_cookery:braised_beef),,14,18.0,饱腹代偿 3分,原始(统一基准),
万花筒烹饪,stir_fried_pork_with_peppers_rice_bowl.json,青椒炒肉盖饭(kaleidoscope_cookery:stir_fried_pork_with_peppers_rice_bowl),1,盖饭(饭碗),青椒炒肉(kaleidoscope_cookery:stir_fried_pork_with_peppers),,14,18.0,饱腹代偿 3分,原始(统一基准),
万花筒烹饪,fish_flavored_shredded_pork_rice_bowl.json,鱼香肉丝盖饭(kaleidoscope_cookery:fish_flavored_shredded_pork_rice_bowl),1,盖饭(饭碗),鱼香肉丝(kaleidoscope_cookery:fish_flavored_shredded_pork),,14,18.0,饱腹代偿 3分,原始(统一基准),
万花筒烹饪,baozi_plate.json,一盘包子(kaleidoscope_cookery:baozi_plate),1,工作台,包子(kaleidoscope_cookery:baozi) + 包子(kaleidoscope_cookery:baozi) + 包子(kaleidoscope_cookery:baozi) + 包子(kaleidoscope_cookery:baozi) + 包子(kaleidoscope_cookery:baozi) + 碗(minecraft:bowl),,,,,原始(统一基准),
万花筒烹饪,shengjian_mantou_plate.json,一盘水煎包(kaleidoscope_cookery:shengjian_mantou_plate),1,工作台,水煎包(kaleidoscope_cookery:shengjian_mantou) + 水煎包(kaleidoscope_cookery:shengjian_mantou) + 水煎包(kaleidoscope_cookery:shengjian_mantou) + 水煎包(kaleidoscope_cookery:shengjian_mantou) + 水煎包(kaleidoscope_cookery:shengjian_mantou) + 碗(minecraft:bowl),,,,,原始(统一基准),
万花筒烹饪,sticky_candy_plate.json,一盘牛皮糖(kaleidoscope_cookery:sticky_candy_plate),1,工作台,牛皮糖(kaleidoscope_cookery:sticky_candy) + 牛皮糖(kaleidoscope_cookery:sticky_candy) + 牛皮糖(kaleidoscope_cookery:sticky_candy) + 牛皮糖(kaleidoscope_cookery:sticky_candy) + 碗(minecraft:bowl),,,,,原始(统一基准),
万花筒烹饪,zongzi_plate.json,一盘粽子(kaleidoscope_cookery:zongzi_plate),1,工作台,熟粽子(kaleidoscope_cookery:zongzi) + 熟粽子(kaleidoscope_cookery:zongzi) + 熟粽子(kaleidoscope_cookery:zongzi) + 熟粽子(kaleidoscope_cookery:zongzi) + 碗(minecraft:bowl),,,,,原始(统一基准),
万花筒烹饪,sticky_rice_cake_plate.json,一盘糍粑(kaleidoscope_cookery:sticky_rice_cake_plate),1,工作台,糍粑(kaleidoscope_cookery:sticky_rice_cake) + 糍粑(kaleidoscope_cookery:sticky_rice_cake) + 糍粑(kaleidoscope_cookery:sticky_rice_cake) + 糍粑(kaleidoscope_cookery:sticky_rice_cake) + 糍粑(kaleidoscope_cookery:sticky_rice_cake) + 碗(minecraft:bowl),,,,,原始(统一基准),
万花筒烹饪,qingtuan_plate.json,一盘青团(kaleidoscope_cookery:qingtuan_plate),1,工作台,青团(kaleidoscope_cookery:qingtuan) + 青团(kaleidoscope_cookery:qingtuan) + 青团(kaleidoscope_cookery:qingtuan) + 青团(kaleidoscope_cookery:qingtuan) + 碗(minecraft:bowl),,,,,原始(统一基准),
农夫乐事,nether_salad.json,下界沙拉(farmersdelight:nether_salad),1,工作台,绯红菌(minecraft:crimson_fungus) + 诡异菌(minecraft:warped_fungus) + 碗(minecraft:bowl),,5,4.0,反胃 12秒(30%),原始,
万花筒烹饪,nether_style_sashimi.json,下界风味刺身(kaleidoscope_cookery:nether_style_sashimi),1,工作台,绯红菌(minecraft:crimson_fungus) + 诡异菌(minecraft:warped_fungus) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 碗(minecraft:bowl),,16,6.0,芥末 5分,原始(统一基准),
万花筒烹饪,cook_stool_jungle.json,丛林木厨娘凳(kaleidoscope_cookery:cook_stool_jungle),1,工作台,丛林木板(minecraft:jungle_planks)×5,,,,,原始(统一基准),
万花筒烹饪,chair_jungle.json,丛林木椅子(kaleidoscope_cookery:chair_jungle),1,工作台,丛林木栅栏(minecraft:jungle_fence)×3 + 丛林木台阶(minecraft:jungle_slab)×3,,,,,原始(统一基准),
农夫乐事,jungle_cabinet.json,丛林木橱柜(farmersdelight:jungle_cabinet),1,工作台,丛林木台阶(minecraft:jungle_slab)×6 + 丛林木活板门(minecraft:jungle_trapdoor)×2,,,,,原始,
万花筒烹饪,table_jungle.json,丛林木餐桌(kaleidoscope_cookery:table_jungle),1,工作台,丛林木台阶(minecraft:jungle_slab)×3 + 丛林木栅栏(minecraft:jungle_fence)×2,,,,,原始(统一基准),
农夫乐事,book_from_canvas.json,书(minecraft:book),1,工作台,纸(minecraft:paper) + 纸(minecraft:paper) + 纸(minecraft:paper) + 粗布(farmersdelight:canvas),,,,,原始,
万花筒烹饪,cook_stool_spruce.json,云杉木厨娘凳(kaleidoscope_cookery:cook_stool_spruce),1,工作台,云杉木板(minecraft:spruce_planks)×5,,,,,原始(统一基准),
万花筒烹饪,chair_spruce.json,云杉木椅子(kaleidoscope_cookery:chair_spruce),1,工作台,云杉木栅栏(minecraft:spruce_fence)×3 + 云杉木台阶(minecraft:spruce_slab)×3,,,,,原始(统一基准),
农夫乐事,spruce_cabinet.json,云杉木橱柜(farmersdelight:spruce_cabinet),1,工作台,云杉木台阶(minecraft:spruce_slab)×6 + 云杉木活板门(minecraft:spruce_trapdoor)×2,,,,,原始,
万花筒烹饪,table_spruce.json,云杉木餐桌(kaleidoscope_cookery:table_spruce),1,工作台,云杉木台阶(minecraft:spruce_slab)×3 + 云杉木栅栏(minecraft:spruce_fence)×2,,,,,原始(统一基准),
万花筒烹饪,farmer_chest_plate.json,农夫围裙(kaleidoscope_cookery:farmer_chest_plate),1,工作台,铁锭(#c:ingots/iron)×2 + 皮革(minecraft:leather)×6,,,,,原始(统一基准),
万花筒烹饪,farmer_boots.json,农夫皮靴(kaleidoscope_cookery:farmer_boots),1,工作台,铁锭(#c:ingots/iron)×2 + 皮革(minecraft:leather)×2,,,,,原始(统一基准),
万花筒烹饪,farmer_leggings.json,农夫长裤(kaleidoscope_cookery:farmer_leggings),1,工作台,皮革(minecraft:leather)×6 + 铁锭(#c:ingots/iron),,,,,原始(统一基准),
万花筒烹饪,cold_cut_ham_slices.json,冷切火腿片(kaleidoscope_cookery:cold_cut_ham_slices),1,工作台,熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 熟五花肉(kaleidoscope_cookery:cooked_pork_belly) + 碗(minecraft:bowl),,4,6.4,,原始(统一基准),
万花筒烹饪,cold_roasted_meat.json,冷肉炙(kaleidoscope_cookery:cold_roasted_meat),1,工作台,牛排(minecraft:cooked_beef) + 牛排(minecraft:cooked_beef) + 牛排(minecraft:cooked_beef) + 碗(minecraft:bowl),,16,25.6,,原始(统一基准),
农夫乐事,pumpkin_from_slices.json,南瓜(minecraft:pumpkin),1,工作台,南瓜片(farmersdelight:pumpkin_slice)×4,,,,,原始,
农夫乐事,pumpkin_pie_from_pie_crust.json,南瓜派(minecraft:pumpkin_pie),2,工作台,南瓜片(farmersdelight:pumpkin_slice)×4 + 蛋(#c:eggs) + 糖(minecraft:sugar) + 馅饼酥皮(farmersdelight:pie_crust),,,,,原始,
农夫乐事,pumpkin_pie_from_slices.json,南瓜派(minecraft:pumpkin_pie),1,工作台,南瓜派切片(farmersdelight:pumpkin_pie_slice)×4,,,,,原始,
农夫乐事,pumpkin_seeds_from_slice.json,南瓜种子(minecraft:pumpkin_seeds),1,工作台,南瓜片(farmersdelight:pumpkin_slice),,,,,原始,
农夫乐事,cabbage.json,卷心菜(farmersdelight:cabbage),9,工作台,箱装卷心菜(farmersdelight:cabbage_crate),,2,1.6,,原始,
农夫乐事,cabbage_from_leaves.json,卷心菜(farmersdelight:cabbage),1,工作台,卷心菜叶(farmersdelight:cabbage_leaf) + 卷心菜叶(farmersdelight:cabbage_leaf),,2,1.6,,原始,
万花筒烹饪,kitchenware_racks.json,厨具架(kaleidoscope_cookery:kitchenware_racks),1,工作台,木棍(minecraft:stick)×3 + 铁锭(#c:ingots/iron)×2 + 铁粒(#c:nuggets/iron),,,,,原始(统一基准),
农夫乐事,cooking_pot.json,厨锅(farmersdelight:cooking_pot),1,工作台,红砖(minecraft:brick)×2 + 木锹(minecraft:wooden_shovel) + 铁锭(#c:ingots/iron)×5 + 水桶(#c:buckets/water),,,,,原始,
农夫乐事,magenta_canvas_sign.json,品红色粗布告示牌(farmersdelight:magenta_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 品红色染料(#c:dyes/magenta),,,,,原始,
万花筒烹饪,trash_can.json,垃圾桶(kaleidoscope_cookery:trash_can),1,工作台,铁锭(#c:ingots/iron)×8 + 堆肥桶(minecraft:composter),,,,,原始(统一基准),
农夫乐事,bacon_sandwich.json,培根三明治(farmersdelight:bacon_sandwich),1,工作台,面包(#c:foods/bread) + 熟培根(#c:foods/cooked_bacon) + 绿叶菜(#c:foods/leafy_green) + 番茄(#c:crops/tomato),,10,16.0,,原始,
农夫乐事,bacon_and_eggs.json,培根蛋(farmersdelight:bacon_and_eggs),1,工作台,熟培根(#c:foods/cooked_bacon) + 熟培根(#c:foods/cooked_bacon) + 碗(minecraft:bowl) + 熟蛋(#c:foods/cooked_egg) + 熟蛋(#c:foods/cooked_egg),,10,12.0,营养 1分,原始,
农夫乐事,stuffed_potato.json,填馅马铃薯(farmersdelight:stuffed_potato),1,工作台,烤马铃薯(minecraft:baked_potato) + 熟牛肉(#c:foods/cooked_beef) + 奶(#c:drinks/milk),,10,14.0,,原始,
农夫乐事,egg_sandwich.json,夹蛋三明治(farmersdelight:egg_sandwich),1,工作台,面包(#c:foods/bread) + 熟蛋(#c:foods/cooked_egg) + 熟蛋(#c:foods/cooked_egg),,8,12.8,,原始,
农夫乐事,milk_bucket_from_bottles.json,奶桶(minecraft:milk_bucket),1,工作台,桶(minecraft:bucket) + 奶瓶(farmersdelight:milk_bottle) + 奶瓶(farmersdelight:milk_bottle) + 奶瓶(farmersdelight:milk_bottle) + 奶瓶(farmersdelight:milk_bottle),,,,,原始,
农夫乐事,milk_bottle.json,奶瓶(farmersdelight:milk_bottle),4,工作台,奶桶(minecraft:milk_bucket) + 玻璃瓶(minecraft:glass_bottle) + 玻璃瓶(minecraft:glass_bottle) + 玻璃瓶(minecraft:glass_bottle) + 玻璃瓶(minecraft:glass_bottle),,,,,原始,
万花筒烹饪,transmutation_lunch_bag.json,嬗变饭袋(kaleidoscope_cookery:transmutation_lunch_bag),1,工作台,皮革(minecraft:leather)×6 + 下界之星(minecraft:nether_star),,,,,原始(统一基准),
农夫乐事,safety_net.json,安全网(farmersdelight:safety_net),1,工作台,绳子(farmersdelight:rope)×4,,,,,原始,
万花筒烹饪,cold_style_sashimi.json,寒带风味刺身(kaleidoscope_cookery:cold_style_sashimi),1,工作台,雪球(minecraft:snowball) + 雪球(minecraft:snowball) + 雪球(minecraft:snowball) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 碗(minecraft:bowl),,16,6.0,芥末 5分,原始(统一基准),
农夫乐事,rice_roll_medley_block.json,寿司拼盘(farmersdelight:rice_roll_medley_block),1,工作台,海带寿司(farmersdelight:kelp_roll_slice) + 海带寿司(farmersdelight:kelp_roll_slice) + 海带寿司(farmersdelight:kelp_roll_slice) + 鲑鱼寿司(farmersdelight:salmon_roll) + 鲑鱼寿司(farmersdelight:salmon_roll) + 鲑鱼寿司(farmersdelight:salmon_roll) + 鳕鱼寿司(farmersdelight:cod_roll) + 碗(minecraft:bowl) + 鳕鱼寿司(farmersdelight:cod_roll),,,,,原始,
农夫乐事,chocolate_pie.json,巧克力派(farmersdelight:chocolate_pie),1,工作台,可可豆(minecraft:cocoa_beans)×3 + 奶(#c:drinks/milk)×3 + 糖(minecraft:sugar)×2 + 馅饼酥皮(farmersdelight:pie_crust),,,,,原始,
农夫乐事,chocolate_pie_from_slices.json,巧克力派(farmersdelight:chocolate_pie),1,工作台,巧克力派切片(farmersdelight:chocolate_pie_slice)×4,,,,,原始,
农夫乐事,magenta_hanging_canvas_sign.json,悬挂式品红色粗布告示牌(farmersdelight:magenta_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 品红色染料(#c:dyes/magenta),,,,,原始,
农夫乐事,brown_hanging_canvas_sign.json,悬挂式棕色粗布告示牌(farmersdelight:brown_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 棕色染料(#c:dyes/brown),,,,,原始,
农夫乐事,orange_hanging_canvas_sign.json,悬挂式橙色粗布告示牌(farmersdelight:orange_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 橙色染料(#c:dyes/orange),,,,,原始,
农夫乐事,light_gray_hanging_canvas_sign.json,悬挂式淡灰色粗布告示牌(farmersdelight:light_gray_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 淡灰色染料(#c:dyes/light_gray),,,,,原始,
农夫乐事,light_blue_hanging_canvas_sign.json,悬挂式淡蓝色粗布告示牌(farmersdelight:light_blue_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 淡蓝色染料(#c:dyes/light_blue),,,,,原始,
农夫乐事,gray_hanging_canvas_sign.json,悬挂式灰色粗布告示牌(farmersdelight:gray_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 灰色染料(#c:dyes/gray),,,,,原始,
农夫乐事,white_hanging_canvas_sign.json,悬挂式白色粗布告示牌(farmersdelight:white_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 白色染料(#c:dyes/white),,,,,原始,
农夫乐事,pink_hanging_canvas_sign.json,悬挂式粉红色粗布告示牌(farmersdelight:pink_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 粉红色染料(#c:dyes/pink),,,,,原始,
农夫乐事,hanging_canvas_sign.json,悬挂式粗布告示牌(farmersdelight:hanging_canvas_sign),6,工作台,锁链(minecraft:chain)×2 + 原木(#minecraft:logs)×4 + 粗布(farmersdelight:canvas)×2,,,,,原始,
农夫乐事,purple_hanging_canvas_sign.json,悬挂式紫色粗布告示牌(farmersdelight:purple_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 紫色染料(#c:dyes/purple),,,,,原始,
农夫乐事,red_hanging_canvas_sign.json,悬挂式红色粗布告示牌(farmersdelight:red_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 红色染料(#c:dyes/red),,,,,原始,
