"来源模组","配方 ID","配方中文译名（主产物）","配方序列化类型","合成机器/工序","产物中文名","产物 ID","产物数量","是否可食用","饥饿值","饱食度","食用效果/BUFF","经验值","烹饪时间(tick)","原料概览","备注"
"kaleidoscope_cookery","kaleidoscope_cookery:pot/cod_to_cooked_cod_2","熟鳕鱼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟鳕鱼","minecraft:cooked_cod","2","是","5","6","","","","原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/cod_to_cooked_cod_1","熟鳕鱼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟鳕鱼","minecraft:cooked_cod","1","是","5","6","","","","原料：生鳕鱼 <minecraft:cod>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/cod_to_cooked_cod_7","熟鳕鱼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟鳕鱼","minecraft:cooked_cod","7","是","5","6","","","","原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/cod_to_cooked_cod_6","熟鳕鱼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟鳕鱼","minecraft:cooked_cod","6","是","5","6","","","","原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/cod_to_cooked_cod_5","熟鳕鱼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟鳕鱼","minecraft:cooked_cod","5","是","5","6","","","","原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/cod_to_cooked_cod_4","熟鳕鱼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟鳕鱼","minecraft:cooked_cod","4","是","5","6","","","","原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/cod_to_cooked_cod_9","熟鳕鱼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟鳕鱼","minecraft:cooked_cod","9","是","5","6","","","","原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/cod_to_cooked_cod_8","熟鳕鱼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟鳕鱼","minecraft:cooked_cod","8","是","5","6","","","","原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>；原料：生鳕鱼 <minecraft:cod>",""
"kaleidoscope_cookery","kaleidoscope_cookery:table_oak","橡木餐桌","minecraft:crafting_shaped","工作台（有序合成）","橡木餐桌","kaleidoscope_cookery:table_oak","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:cooking/pasta_with_mutton_chop","羊排意面","farmersdelight:cooking","烹饪锅","羊排意面","farmersdelight:pasta_with_mutton_chop","1","是","12","19.2","滋养 3600tick 1级 概率1","","","原料：#c:foods/raw_mutton；原料：#c:foods/pasta；原料：番茄酱 <farmersdelight:tomato_sauce>",""
"spawn","spawn:bone_meal_from_dead_sea_urchin","骨粉","minecraft:crafting_shapeless","工作台（无序合成）","骨粉","minecraft:bone_meal","2","否","","","","","","原料：失活海胆 <spawn:dead_sea_urchin>",""
"kaleidoscope_cookery","kaleidoscope_cookery:flex_stockpot/crimson_fungus_pot_soup","绯红菌瓦罐汤","kaleidoscope_cookery:flex_stockpot","自定义工序（kaleidoscope_cookery:flex_stockpot）","绯红菌瓦罐汤","kaleidoscope_cookery:crimson_fungus_pot_soup","1","是","18","24.012","抗火 2400tick 1级 概率1","","","原料：绯红菌 <minecraft:crimson_fungus>；容器/载体：花盆 <minecraft:flower_pot>",""
"spawn","spawn:reefstone_tile_slab_from_reefstone_tiles_stonecutting","礁石台阶","minecraft:stonecutting","自定义工序（minecraft:stonecutting）","礁石台阶","spawn:reefstone_tile_slab","2","否","","","","","","原料：礁石瓦 <spawn:reefstone_tiles>",""
"spawn","spawn:cooked_clam_from_smoking","熟蚌肉","minecraft:smoking","烟熏炉","熟蚌肉","spawn:cooked_clam","1","是","3","3","","0.35","100","原料：蚌 <spawn:clam>",""
"farmersdelight","farmersdelight:salvaging/tnt_minecart","矿车","farmersdelight:cutting","切菜板","矿车","minecraft:minecart","1","否","","","","","","原料：TNT矿车 <minecraft:tnt_minecart>；工具：{""type"":""farmersdelight:item_ability"",""action"":""hoe_dig""}；工具：#minecraft:hoes",""
"farmersdelight","farmersdelight:cabbage_from_leaves","卷心菜","minecraft:crafting_shapeless","工作台（无序合成）","卷心菜","farmersdelight:cabbage","1","是","2","1.6","","","","原料：卷心菜叶 <farmersdelight:cabbage_leaf>；原料：卷心菜叶 <farmersdelight:cabbage_leaf>",""
"spawn","spawn:cooked_dodo_from_smoking","熟渡渡鸟肉","minecraft:smoking","烟熏炉","熟渡渡鸟肉","spawn:cooked_dodo","1","是","20","56","力量 1200tick 2级 概率1","0.35","100","原料：生渡渡鸟肉 <spawn:dodo>",""
"spawn","spawn:reefstone_tile_wall","礁石墙","minecraft:crafting_shaped","工作台（有序合成）","礁石墙","spawn:reefstone_tile_wall","6","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:salvaging/acacia_chest_boat","金合欢木船","farmersdelight:cutting","切菜板","金合欢木船","minecraft:acacia_boat","1","否","","","","","","原料：金合欢木运输船 <minecraft:acacia_chest_boat>；工具：{""type"":""farmersdelight:item_ability"",""action"":""hoe_dig""}；工具：#minecraft:hoes",""
"farmersdelight","farmersdelight:salvaging/deepslate","深板岩圆石","farmersdelight:cutting","切菜板","深板岩圆石","minecraft:cobbled_deepslate","1","否","","","","","","原料：深板岩 <minecraft:deepslate>；工具：{""type"":""farmersdelight:item_ability"",""action"":""pickaxe_dig""}；工具：#minecraft:pickaxes",""
"farmersdelight","farmersdelight:bamboo_cabinet","竹橱柜","minecraft:crafting_shaped","工作台（有序合成）","竹橱柜","farmersdelight:bamboo_cabinet","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:salvaging/nether_bricks","下界砖","farmersdelight:cutting","切菜板","下界砖","minecraft:nether_brick","4","否","","","","","","原料：下界砖块 <minecraft:nether_bricks>；工具：{""type"":""farmersdelight:item_ability"",""action"":""pickaxe_dig""}；工具：#minecraft:pickaxes",""
"kaleidoscope_cookery","kaleidoscope_cookery:flex_pot/fried_caterpillar","油炸猪儿虫","kaleidoscope_cookery:flex_pot","自定义工序（kaleidoscope_cookery:flex_pot）","油炸猪儿虫","kaleidoscope_cookery:fried_caterpillar","1","是","12","19.2","胀气 200tick 1级 概率1","","","原料：#kaleidoscope_cookery:caterpillars；容器/载体：碗 <minecraft:bowl>",""
"farmersdelight","farmersdelight:salmon_roll","鲑鱼寿司","minecraft:crafting_shapeless","工作台（无序合成）","鲑鱼寿司","farmersdelight:salmon_roll","2","是","7","8.400001","","","","原料：生鲑鱼片 <farmersdelight:salmon_slice>；原料：生鲑鱼片 <farmersdelight:salmon_slice>；原料：米饭 <farmersdelight:cooked_rice>",""
"kaleidoscope_cookery","kaleidoscope_cookery:chopping_board/bone_from_salmon","骨头","kaleidoscope_cookery:chopping_board","自定义工序（kaleidoscope_cookery:chopping_board）","骨头","minecraft:bone","2","否","","","","","","原料：熟鲑鱼 <minecraft:cooked_salmon>",""
"farmersdelight","farmersdelight:cutting/gravel","沙砾","farmersdelight:cutting","切菜板","沙砾","minecraft:gravel","1","否","","","","","","原料：沙砾 <minecraft:gravel>；工具：{""type"":""farmersdelight:item_ability"",""action"":""shovel_dig""}；工具：#minecraft:shovels",""
"spawn","spawn:cooked_herring","熟鲱鱼","minecraft:smelting","熔炉","熟鲱鱼","spawn:cooked_herring","1","是","4","4","","0.35","200","原料：鲱鱼 <spawn:herring>",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/green_dye_from_cactus","绿色染料","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","绿色染料","minecraft:green_dye","2","否","","","","","","原料：仙人掌 <minecraft:cactus>",""
"farmersdelight","farmersdelight:cooking/baked_cod_stew","烘焙鳕鱼炖","farmersdelight:cooking","烹饪锅","烘焙鳕鱼炖","farmersdelight:baked_cod_stew","1","是","14","21","滋养 6000tick 1级 概率1","","","原料：#c:foods/raw_cod；原料：#c:crops/potato；原料：#c:eggs；原料：#c:crops/tomato",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/chicken_to_cooked_chicken_7","熟鸡肉","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟鸡肉","minecraft:cooked_chicken","7","是","6","7.2000003","","","","原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/chicken_to_cooked_chicken_6","熟鸡肉","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟鸡肉","minecraft:cooked_chicken","6","是","6","7.2000003","","","","原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/chicken_to_cooked_chicken_9","熟鸡肉","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟鸡肉","minecraft:cooked_chicken","9","是","6","7.2000003","","","","原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/chicken_to_cooked_chicken_8","熟鸡肉","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟鸡肉","minecraft:cooked_chicken","8","是","6","7.2000003","","","","原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>；原料：生鸡肉 <minecraft:chicken>",""
"farmersdelight","farmersdelight:cherry_cabinet","樱花木橱柜","minecraft:crafting_shaped","工作台（有序合成）","樱花木橱柜","farmersdelight:cherry_cabinet","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:flex_stockpot/lamb_and_radish_soup","萝卜羊肉汤","kaleidoscope_cookery:flex_stockpot","自定义工序（kaleidoscope_cookery:flex_stockpot）","萝卜羊肉汤","kaleidoscope_cookery:lamb_and_radish_soup","1","是","6","8.004","寒带疾行 6000tick 1级 概率1","","","原料：#c:foods/raw_mutton；原料：胡萝卜 <minecraft:carrot>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/stuffed_dough_food_to_meat_pie_1","馅饼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","馅饼","kaleidoscope_cookery:meat_pie","1","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"farmersdelight","farmersdelight:melon_popsicle","西瓜冰棍","minecraft:crafting_shaped","工作台（有序合成）","西瓜冰棍","farmersdelight:melon_popsicle","1","是","3","1.2","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/stuffed_dough_food_to_meat_pie_2","馅饼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","馅饼","kaleidoscope_cookery:meat_pie","2","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/stuffed_dough_food_to_meat_pie_3","馅饼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","馅饼","kaleidoscope_cookery:meat_pie","3","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/stuffed_dough_food_to_meat_pie_4","馅饼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","馅饼","kaleidoscope_cookery:meat_pie","4","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/stuffed_dough_food_to_meat_pie_5","馅饼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","馅饼","kaleidoscope_cookery:meat_pie","5","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/stuffed_dough_food_to_meat_pie_6","馅饼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","馅饼","kaleidoscope_cookery:meat_pie","6","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"farmersdelight","farmersdelight:spruce_cabinet","云杉木橱柜","minecraft:crafting_shaped","工作台（有序合成）","云杉木橱柜","farmersdelight:spruce_cabinet","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/stuffed_dough_food_to_meat_pie_7","馅饼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","馅饼","kaleidoscope_cookery:meat_pie","7","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/stuffed_dough_food_to_meat_pie_8","馅饼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","馅饼","kaleidoscope_cookery:meat_pie","8","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/stuffed_dough_food_to_meat_pie_9","馅饼","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","馅饼","kaleidoscope_cookery:meat_pie","9","是","8","16","温暖 1600tick 1级 概率1","","","原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>；原料：裹馅面食 <kaleidoscope_cookery:stuffed_dough_food>",""
"spawn","spawn:cut_blasted_sandstone","切制荒砂岩","minecraft:crafting_shaped","工作台（有序合成）","切制荒砂岩","spawn:cut_blasted_sandstone","4","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:steak_and_potatoes","牛排配马铃薯","minecraft:crafting_shapeless","工作台（无序合成）","牛排配马铃薯","farmersdelight:steak_and_potatoes","1","是","12","19.2","滋养 3600tick 1级 概率1","","","原料：烤马铃薯 <minecraft:baked_potato>；原料：牛排 <minecraft:cooked_beef>；原料：碗 <minecraft:bowl>；原料：#c:crops/onion；原料：米饭 <farmersdelight:cooked_rice>",""
"spawn","spawn:rotten_fence","腐木栅栏","minecraft:crafting_shaped","工作台（有序合成）","腐木栅栏","spawn:rotten_fence","3","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:cooking/squid_ink_pasta","鱿鱼墨面","farmersdelight:cooking","烹饪锅","鱿鱼墨面","farmersdelight:squid_ink_pasta","1","是","14","21","滋养 6000tick 1级 概率1","","","原料：#c:foods/safe_raw_fish；原料：#c:foods/pasta；原料：#c:crops/tomato；原料：墨囊 <minecraft:ink_sac>",""
"farmersdelight","farmersdelight:cutting/oak_wood","去皮橡木","farmersdelight:cutting","切菜板","去皮橡木","minecraft:stripped_oak_wood","1","否","","","","","","原料：橡木 <minecraft:oak_wood>；工具：{""type"":""farmersdelight:item_ability"",""action"":""axe_strip""}；工具：#minecraft:axes",""
"farmersdelight","farmersdelight:cutting/spruce_log","去皮云杉原木","farmersdelight:cutting","切菜板","去皮云杉原木","minecraft:stripped_spruce_log","1","否","","","","","","原料：云杉原木 <minecraft:spruce_log>；工具：{""type"":""farmersdelight:item_ability"",""action"":""axe_strip""}；工具：#minecraft:axes",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/yellow_dye_from_dandelion","黄色染料","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","黄色染料","minecraft:yellow_dye","2","否","","","","","","原料：蒲公英 <minecraft:dandelion>",""
"spawn","spawn:blasted_sandstone_stairs","荒砂岩楼梯","minecraft:crafting_shaped","工作台（有序合成）","荒砂岩楼梯","spawn:blasted_sandstone_stairs","4","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot","汤锅","minecraft:crafting_shaped","工作台（有序合成）","汤锅","kaleidoscope_cookery:stockpot","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/braised_pork_ribs","红烧排骨","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","红烧排骨","kaleidoscope_cookery:braised_pork_ribs","1","是","16","25.6","温暖 1600tick 1级 概率1","","","原料：骨头 <minecraft:bone>；原料：骨头 <minecraft:bone>；原料：骨头 <minecraft:bone>；原料：骨头 <minecraft:bone>；原料：#c:foods/raw_pork；原料：#c:foods/raw_pork；原料：#c:foods/raw_pork；原料：#c:foods/raw_pork；容器/载体：碗 <minecraft:bowl>",""
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot/pork_bone_soup","大骨汤","kaleidoscope_cookery:stockpot","万花筒汤锅","大骨汤","kaleidoscope_cookery:pork_bone_soup","1","是","6","8.004","活力 6000tick 1级 概率1","","","原料：骨头 <minecraft:bone>；原料：骨头 <minecraft:bone>；原料：骨头 <minecraft:bone>；原料：骨头 <minecraft:bone>；原料：骨头 <minecraft:bone>；原料：骨头 <minecraft:bone>；原料：骨头 <minecraft:bone>",""
"spawn","spawn:shell_fragments_from_casting_net","","spawn:casting_net_clam","自定义工序（spawn:casting_net_clam）","","","","否","","","","","","","此配方没有固定产物，或产物需由容器/上下文决定。"
"ordertocook","ordertocook:chef_coin_100_from_20","100 oTc币","minecraft:crafting_shapeless","工作台（无序合成）","100 oTc币","ordertocook:chef_coin_100","1","否","","","","","","原料：20 oTc币 <ordertocook:chef_coin_20>；原料：20 oTc币 <ordertocook:chef_coin_20>；原料：20 oTc币 <ordertocook:chef_coin_20>；原料：20 oTc币 <ordertocook:chef_coin_20>；原料：20 oTc币 <ordertocook:chef_coin_20>",""
"farmersdelight","farmersdelight:sweet_berry_cheesecake_from_slices","甜浆果芝士派","minecraft:crafting_shaped","工作台（有序合成）","甜浆果芝士派","farmersdelight:sweet_berry_cheesecake","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:chopping_board/cooked_cut_small_meats_from_chicken","熟切制小肉","kaleidoscope_cookery:chopping_board","自定义工序（kaleidoscope_cookery:chopping_board）","熟切制小肉","kaleidoscope_cookery:cooked_cut_small_meats","2","是","4","6.4","","","","原料：熟鸡肉 <minecraft:cooked_chicken>",""
"kaleidoscope_cookery","kaleidoscope_cookery:flex_pot/stargazy_pie","仰望星空派","kaleidoscope_cookery:flex_pot","自定义工序（kaleidoscope_cookery:flex_pot）","仰望星空派","kaleidoscope_cookery:stargazy_pie","1","是","13","15.99","胀气 600tick 1级 概率1；霉运 3600tick 1级 概率1","","","原料：#c:raw_fishes；原料：南瓜派 <minecraft:pumpkin_pie>；容器/载体：碗 <minecraft:bowl>",""
"farmersdelight","farmersdelight:cutting/azure_bluet","淡灰色染料","farmersdelight:cutting","切菜板","淡灰色染料","minecraft:light_gray_dye","2","否","","","","","","原料：蓝花美耳草 <minecraft:azure_bluet>；工具：{""type"":""farmersdelight:item_ability"",""action"":""knife_dig""}；工具：#c:tools/knife",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/raw_pork_belly_to_cooked_pork_belly_4","熟五花肉","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟五花肉","kaleidoscope_cookery:cooked_pork_belly","4","是","4","6.4","","","","原料：生五花肉 <kaleidoscope_cookery:raw_pork_belly>；原料：生五花肉 <kaleidoscope_cookery:raw_pork_belly>；原料：生五花肉 <kaleidoscope_cookery:raw_pork_belly>；原料：生五花肉 <kaleidoscope_cookery:raw_pork_belly>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/raw_pork_belly_to_cooked_pork_belly_3","熟五花肉","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟五花肉","kaleidoscope_cookery:cooked_pork_belly","3","是","4","6.4","","","","原料：生五花肉 <kaleidoscope_cookery:raw_pork_belly>；原料：生五花肉 <kaleidoscope_cookery:raw_pork_belly>；原料：生五花肉 <kaleidoscope_cookery:raw_pork_belly>",""
"spawn","spawn:rotten_sign","腐木告示牌","minecraft:crafting_shaped","工作台（有序合成）","腐木告示牌","spawn:rotten_sign","3","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
