配方ID,产物,数量,机器,原料,附加参数
jungle_furniture,丛林木板(minecraft:jungle_planks),1,砧板,任选其一:[丛林木门(minecraft:jungle_door) | 丛林木活板门(minecraft:jungle_trapdoor) | 丛林木告示牌(minecraft:jungle_sign) | 丛林木悬挂牌(minecraft:jungle_hanging_sign) | 丛林木栅栏(minecraft:jungle_fence) | 丛林木栅栏门(minecraft:jungle_fence_gate) | 丛林木压力板(minecraft:jungle_pressure_plate) | 丛林木按钮(minecraft:jungle_button) | 丛林木船(minecraft:jungle_boat) | 丛林木橱柜(farmersdelight:jungle_cabinet)],工具:斧或斧(#minecraft:axes); 掉落率75%
leather_armor,皮革(minecraft:leather),1,砧板,任选其一:[皮革头盔(minecraft:leather_helmet) | 皮革胸甲(minecraft:leather_chestplate) | 皮革护腿(minecraft:leather_leggings) | 皮革靴(minecraft:leather_boots)],工具:剪刀或剪刀(#c:tools/shear)
leather_horse_armor,皮革(minecraft:leather),2,砧板,皮革马铠(minecraft:leather_horse_armor),工具:剪刀或剪刀(#c:tools/shear)
mangrove_chest_boat,红树木船(minecraft:mangrove_boat) + 箱子(minecraft:chest),1,砧板,红树木储物船(minecraft:mangrove_chest_boat),工具:锄或锄(#minecraft:hoes)
mangrove_furniture,红树木板(minecraft:mangrove_planks),1,砧板,任选其一:[红树木门(minecraft:mangrove_door) | 红树木活板门(minecraft:mangrove_trapdoor) | 红树木告示牌(minecraft:mangrove_sign) | 红树木悬挂牌(minecraft:mangrove_hanging_sign) | 红树木栅栏(minecraft:mangrove_fence) | 红树木栅栏门(minecraft:mangrove_fence_gate) | 红树木压力板(minecraft:mangrove_pressure_plate) | 红树木按钮(minecraft:mangrove_button) | 红树木船(minecraft:mangrove_boat) | 红树木橱柜(farmersdelight:mangrove_cabinet)],工具:斧或斧(#minecraft:axes); 掉落率75%
nether_bricks,下界砖(minecraft:nether_brick),4,砧板,下界砖块(minecraft:nether_bricks),工具:镐或镐(#minecraft:pickaxes)
oak_chest_boat,橡木船(minecraft:oak_boat) + 箱子(minecraft:chest),1,砧板,橡木储物船(minecraft:oak_chest_boat),工具:锄或锄(#minecraft:hoes)
oak_furniture,橡木木板(minecraft:oak_planks),1,砧板,任选其一:[橡木门(minecraft:oak_door) | 橡木活板门(minecraft:oak_trapdoor) | 橡木告示牌(minecraft:oak_sign) | 橡木悬挂牌(minecraft:oak_hanging_sign) | 橡木栅栏(minecraft:oak_fence) | 橡木栅栏门(minecraft:oak_fence_gate) | 橡木压力板(minecraft:oak_pressure_plate) | 橡木按钮(minecraft:oak_button) | 橡木船(minecraft:oak_boat) | 橡木橱柜(farmersdelight:oak_cabinet)],工具:斧或斧(#minecraft:axes); 掉落率75%
quartz_block,下界石英(minecraft:quartz),4,砧板,石英块(minecraft:quartz_block),工具:镐或镐(#minecraft:pickaxes)
saddle,皮革(minecraft:leather) + 铁粒(minecraft:iron_nugget),2,砧板,鞍(minecraft:saddle),工具:剪刀或剪刀(#c:tools/shear)
spruce_chest_boat,云杉木船(minecraft:spruce_boat) + 箱子(minecraft:chest),1,砧板,云杉木储物船(minecraft:spruce_chest_boat),工具:锄或锄(#minecraft:hoes)
spruce_furniture,云杉木板(minecraft:spruce_planks),1,砧板,任选其一:[云杉木门(minecraft:spruce_door) | 云杉木活板门(minecraft:spruce_trapdoor) | 云杉木告示牌(minecraft:spruce_sign) | 云杉木悬挂牌(minecraft:spruce_hanging_sign) | 云杉木栅栏(minecraft:spruce_fence) | 云杉木栅栏门(minecraft:spruce_fence_gate) | 云杉木压力板(minecraft:spruce_pressure_plate) | 云杉木按钮(minecraft:spruce_button) | 云杉木船(minecraft:spruce_boat) | 云杉木橱柜(farmersdelight:spruce_cabinet)],工具:斧或斧(#minecraft:axes); 掉落率75%
stone,圆石(minecraft:cobblestone),1,砧板,石头(minecraft:stone),工具:镐或镐(#minecraft:pickaxes)
tnt_minecart,矿车(minecraft:minecart) + minecraft:tnt,1,砧板,TNT 矿车(minecraft:tnt_minecart),工具:锄或锄(#minecraft:hoes)
warped_furniture,诡异木板(minecraft:warped_planks),1,砧板,任选其一:[诡异木门(minecraft:warped_door) | 诡异木活板门(minecraft:warped_trapdoor) | 诡异木告示牌(minecraft:warped_sign) | 诡异木悬挂牌(minecraft:warped_hanging_sign) | 诡异木栅栏(minecraft:warped_fence) | 诡异木栅栏门(minecraft:warped_fence_gate) | 诡异木压力板(minecraft:warped_pressure_plate) | 诡异木按钮(minecraft:warped_button) | 诡异木橱柜(farmersdelight:warped_cabinet)],工具:斧或斧(#minecraft:axes); 掉落率75%
